epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.048,1.55131,1.15702,1.22431,0.75287,0.65549,0.69204,0.33097,1.7728,4.34912,1.3822,0.0700929,0.00332301,0.00332301
2,394.685,1.53372,1.03611,1.2527,0.18858,0.63566,0.15893,0.08494,1.61899,2.9227,1.30754,0.0400913,0.00665472,0.00665472
3,592.055,1.48375,0.94644,1.2289,0.91445,0.82171,0.87914,0.4485,1.64065,1.03655,1.29892,0.0100831,0.00997992,0.00997992
4,788.944,1.45171,0.91412,1.21389,0.91973,0.82853,0.89572,0.50167,1.53139,0.93789,1.23387,0.00997803,0.00997803,0.00997803
5,985.571,1.40636,0.85883,1.19772,0.92908,0.82366,0.89837,0.5265,1.54775,0.89575,1.24599,0.00996097,0.00996097,0.00996097
6,1181.92,1.38069,0.82432,1.18806,0.93809,0.86165,0.92239,0.53382,1.51965,0.76028,1.22783,0.00993906,0.00993906,0.00993906
7,1378.13,1.34726,0.79035,1.16709,0.94308,0.85347,0.91372,0.52435,1.50167,0.75526,1.22622,0.00991232,0.00991232,0.00991232
8,1574.22,1.34239,0.78144,1.16401,0.93351,0.85737,0.91994,0.56213,1.36145,0.74581,1.18988,0.00988079,0.00988079,0.00988079
9,1770.79,1.32863,0.7637,1.15518,0.94812,0.87159,0.9264,0.53638,1.49615,0.70722,1.19424,0.00984449,0.00984449,0.00984449
10,1967.43,1.29236,0.73802,1.14086,0.95099,0.86399,0.93053,0.59576,1.28523,0.67321,1.14357,0.00980345,0.00980345,0.00980345
11,2163.66,1.28487,0.73178,1.13716,0.95468,0.87834,0.93466,0.57307,1.36931,0.66534,1.17239,0.00975773,0.00975773,0.00975773
12,2360.74,1.28715,0.72372,1.13617,0.94053,0.87744,0.933,0.60927,1.22396,0.66084,1.14921,0.00970736,0.00970736,0.00970736
13,2557.19,1.27568,0.71193,1.12914,0.95559,0.8763,0.93539,0.59035,1.30388,0.64693,1.15329,0.00965239,0.00965239,0.00965239
14,2753.84,1.25653,0.69807,1.12785,0.95262,0.88192,0.93804,0.60886,1.24434,0.63051,1.12995,0.00959289,0.00959289,0.00959289
15,2950.5,1.25011,0.69234,1.11658,0.94681,0.88172,0.93806,0.6157,1.2224,0.63862,1.13065,0.00952889,0.00952889,0.00952889
16,3147.26,1.23722,0.68982,1.11689,0.95703,0.87977,0.93985,0.60091,1.28001,0.62109,1.13885,0.00946048,0.00946048,0.00946048
17,3344.11,1.22585,0.67523,1.1127,0.96007,0.88601,0.94182,0.63103,1.17111,0.59689,1.10812,0.00938772,0.00938772,0.00938772
18,3540.65,1.20703,0.66223,1.10165,0.94923,0.89322,0.94549,0.6355,1.17935,0.57767,1.11071,0.00931067,0.00931067,0.00931067
19,3738.13,1.20446,0.66139,1.10493,0.95798,0.88837,0.94403,0.62564,1.19977,0.59354,1.1095,0.00922942,0.00922942,0.00922942
20,3935.05,1.1962,0.65982,1.10131,0.949,0.89561,0.94209,0.64405,1.12142,0.59036,1.10374,0.00914405,0.00914405,0.00914405
21,4132.22,1.1814,0.64872,1.09591,0.95723,0.89406,0.94471,0.65259,1.10505,0.5697,1.10015,0.00905463,0.00905463,0.00905463
